============================================================
NETWORK PORT SCAN REPORT
============================================================

Scan Date : 2026-07-07 10:57:27.501217

TARGET INFORMATION
------------------------------------------------------------
Target IP   : 10.214.101.248
Hostname    : ORG-DKMNU-COMPNY-DESKTOP-7BHHFD
Port Range  : 130 - 14000
Duration    : 140.86 seconds

SCAN SUMMARY
------------------------------------------------------------
Open Ports     : 6
Closed Ports   : 13865
Filtered Ports : 0
Total Scanned  : 13871

OPEN PORTS
------------------------------------------------------------
Port 636 --> Unknown Service --> CLOSED
Port 637 --> Unknown Service --> CLOSED
Port 638 --> Unknown Service --> CLOSED
Port 639 --> Unknown Service --> CLOSED
Port 640 --> Unknown Service --> CLOSED
Port 641 --> Unknown Service --> CLOSED
Port 642 --> Unknown Service --> CLOSED
Port 643 --> Unknown Service --> CLOSED
Port 644 --> Unknown Service --> CLOSED
Port 645 --> Unknown Service --> CLOSED
Port 646 --> Unknown Service --> CLOSED
Port 647 --> Unknown Service --> CLOSED
Port 648 --> Unknown Service --> CLOSED
Port 649 --> Unknown Service --> CLOSED
Port 650 --> Unknown Service --> CLOSED
Port 651 --> Unknown Service --> CLOSED
Port 652 --> Unknown Service --> CLOSED
Port 653 --> Unknown Service --> CLOSED
Port 654 --> Unknown Service --> CLOSED
Port 655 --> Unknown Service --> CLOSED
Port 656 --> Unknown Service --> CLOSED
Port 657 --> Unknown Service --> CLOSED
Port 658 --> Unknown Service --> CLOSED
Port 659 --> Unknown Service --> CLOSED
Port 660 --> Unknown Service --> CLOSED
Port 661 --> Unknown Service --> CLOSED
Port 662 --> Unknown Service --> CLOSED
Port 663 --> Unknown Service --> CLOSED
Port 664 --> Unknown Service --> CLOSED
Port 665 --> Unknown Service --> CLOSED
Port 666 --> Unknown Service --> CLOSED
Port 667 --> Unknown Service --> CLOSED
Port 668 --> Unknown Service --> CLOSED
Port 669 --> Unknown Service --> CLOSED
Port 670 --> Unknown Service --> CLOSED
Port 671 --> Unknown Service --> CLOSED
Port 672 --> Unknown Service --> CLOSED
Port 673 --> Unknown Service --> CLOSED
Port 674 --> Unknown Service --> CLOSED
Port 675 --> Unknown Service --> CLOSED
Port 676 --> Unknown Service --> CLOSED
Port 677 --> Unknown Service --> CLOSED
Port 678 --> Unknown Service --> CLOSED
Port 679 --> Unknown Service --> CLOSED
Port 680 --> Unknown Service --> CLOSED
Port 681 --> Unknown Service --> CLOSED
Port 682 --> Unknown Service --> CLOSED
Port 683 --> Unknown Service --> CLOSED
Port 684 --> Unknown Service --> CLOSED
Port 685 --> Unknown Service --> CLOSED
Port 686 --> Unknown Service --> CLOSED
Port 687 --> Unknown Service --> CLOSED
Port 688 --> Unknown Service --> CLOSED
Port 689 --> Unknown Service --> CLOSED
Port 690 --> Unknown Service --> CLOSED
Port 691 --> Unknown Service --> CLOSED
Port 692 --> Unknown Service --> CLOSED
Port 693 --> Unknown Service --> CLOSED
Port 694 --> Unknown Service --> CLOSED
Port 695 --> Unknown Service --> CLOSED
Port 696 --> Unknown Service --> CLOSED
Port 697 --> Unknown Service --> CLOSED
Port 698 --> Unknown Service --> CLOSED
Port 699 --> Unknown Service --> CLOSED
Port 700 --> Unknown Service --> CLOSED
Port 701 --> Unknown Service --> CLOSED
Port 702 --> Unknown Service --> CLOSED
Port 703 --> Unknown Service --> CLOSED
Port 704 --> Unknown Service --> CLOSED
Port 705 --> Unknown Service --> CLOSED
Port 706 --> Unknown Service --> CLOSED
Port 707 --> Unknown Service --> CLOSED
Port 708 --> Unknown Service --> CLOSED
Port 709 --> Unknown Service --> CLOSED
Port 710 --> Unknown Service --> CLOSED
Port 711 --> Unknown Service --> CLOSED
Port 712 --> Unknown Service --> CLOSED
Port 713 --> Unknown Service --> CLOSED
Port 714 --> Unknown Service --> CLOSED
Port 715 --> Unknown Service --> CLOSED
Port 716 --> Unknown Service --> CLOSED
Port 717 --> Unknown Service --> CLOSED
Port 718 --> Unknown Service --> CLOSED
Port 719 --> Unknown Service --> CLOSED
Port 720 --> Unknown Service --> CLOSED
Port 721 --> Unknown Service --> CLOSED
Port 722 --> Unknown Service --> CLOSED
Port 723 --> Unknown Service --> CLOSED
Port 724 --> Unknown Service --> CLOSED
Port 725 --> Unknown Service --> CLOSED
Port 726 --> Unknown Service --> CLOSED
Port 727 --> Unknown Service --> CLOSED
Port 728 --> Unknown Service --> CLOSED
Port 729 --> Unknown Service --> CLOSED
Port 730 --> Unknown Service --> CLOSED
Port 731 --> Unknown Service --> CLOSED
Port 732 --> Unknown Service --> CLOSED
Port 733 --> Unknown Service --> CLOSED
